vous	v u
éboulements	e b u l m ɑ̃
ébranlés	e b ʁ ɑ̃ l e
ébéniste	e b e ɲ i s t
écart	e k a ʁ
écarta	e k a ʁ t a
écartant	e k a ʁ t ɑ̃
écartée	e k a ʁ t e
échafaudées	e ʃ a f o d e
échanger	e ʃ ɑ̃ ʒ e
échangée	e ʃ ɑ̃ ʒ e
échappa	e ʃ a p a
tarderait	t a ʁ d ə ʁ e
tarderait	t a ʁ d ə ʁ ɛ
superposaient	s y p ɛ ʁ p o z ɛ
échappe	e ʃ a p
échapper	e ʃ a p e
tas	t a s
tas	t ɑ
tasse	t a s
tasse	t ɑ s
échappiez	e ʃ a p j e
échappées	e ʃ a p e
écharpe	e ʃ a ʁ p
échauffé	e ʃ o f e
échelle	e ʃ ɛ l
échelles	e ʃ ɛ l
écho	e k o
échouent	e ʃ w
éclair	e k l ɛ ʁ
éclairage	e k l ɛ ʁ a ʒ
éclairait	e k l ɛ ʁ ɛ
éclaircir	e k l ɛ ʁ s i ʁ
éclaircissement	e k l ɛ ʁ s i s m ɑ̃
éclairs	e k l ɛ ʁ
supplices	s y p ʎ i s
éclairslà	e k l ɛ ʁ s l a
éclairée	e k l ɛ ʁ e
éclat	e k l a
éclata	e k l a t a
éclatait	e k l a t ɛ
éclatante	e k l a t ɑ̃ t
éclate	e k l a t
éclater	e k l a t e
éclore	e k l ɔ ʁ
éclos	e k l o
écoles	e k ɔ l
économique	e k ɔ n ɔ m i k
écoulements	e k u l m ɑ̃
écoutait	e k u t ɛ
écouter	e k u t e
écoutez	e k u t e
écouté	e k u t e
écrasant	e k ʁ a s ɑ̃
écrasant	e k ʁ a z ɑ̃
tasses	t a s
supplier	s y p ʎ i j e
écrasements	e k ʁ a z m ɑ̃
écrasé	e k ʁ a z e
écrire	e k ʁ i ʁ
écrit	e k ʁ i
écrite	e k ʁ i t
écriture	e k ʁ i t y ʁ
écrivant	e k ʁ i v ɑ̃
écrivit	e k ʁ i v i t ɛ
écrou	e k ʁ u
écroulement	e k ʁ u l m ɑ̃
écumant	e k y m ɑ̃
éden	e d ɑ̃
éden	e d ɛ n
supplée	s y p l e
suppléé	s y p l e e
édifiées	e d i f j e
égal	e ɡ a l
égale	e ɡ a l
également	e ɡ a l m ɑ̃
égalité	e ɡ a ʎ i t e
égards	e ɡ a ʁ
égaré	e ɡ a ʁ e
égarés	e ɡ a ʁ e
églantiers	e ɡ l ɑ̃ t j e
égoutiers	e ɡ u t j e
égouts	e ɡ u
égoïsme	e ɡ ɔ i s m
égoïstes	e ɡ ɔ i s t
égratignure	e ɡ ʁ a t i ɲ y ʁ
égrenait	e ɡ ʁ ə n ɛ
élan	e l ɑ̃
élancé	e l ɑ̃ s e
élancés	e l ɑ̃ s e
élargissement	e l a ʁ ʒ i s m ɑ̃
électrique	e l ɛ k t ʁ i k
éleva	e l v a
élevant	e l v ɑ̃
élevé	e l v e
élevée	e l v e
éloigne	e l w a ɲ
éloigner	e l w a ɲ e
éloignée	e l w a ɲ e
élu	e l y
élus	e l y
élégance	e l e ɡ ɑ̃ s
élégances	e l e ɡ ɑ̃ s
élément	e l e m ɑ̃
éléments	e l e m ɑ̃
élévation	e l e v a s j ɔ̃
émergeait	e m ɛ ʁ ʒ ɛ
émerveillée	e m ɛ ʁ v ɛ j e
émeutes	e m ø t
émeutes	ɛ m ø t
émiettait	e mʲ ɛ t ɛ
émouvantes	e m u v ɑ̃ t
énergiquement	e n ɛ ʁ ʒ i k m ɑ̃
énormités	e n ɔ ʁ m i t e
épaissie	e p ɛ s i
épanouie	e p a n w i
éparpillait	e p a ʁ p i j ɛ
épaulettes	e p o l ɛ t
épiait	e p j ɛ
épine	e p i n
épingles	e p ɛ̃ ɡ l
épique	e p i k
époque	e p ɔ k
épousait	e p u z ɛ
épouvantable	e p u v ɑ̃ t a b l
épouvantée	e p u v ɑ̃ t e
éprouve	e p ʁ u v
éprouverait	e p ʁ u v ʁ ɛ
supportant	s y p ɔ ʁ t ɑ̃
épuisé	e p ɥ i z e
supposant	s y p o z ɑ̃
supposez	s y p o z e
suppositions	s y p o z i s j ɔ̃
taupe	t o p
épées	e p e
supprimé	s y p ʁ i m e
tective	t ɛ k t i v
telle	t ɛ l
suprématie	s y p ʁ e m a s i
équité	e c i t e
équité	e k ɥ i t e
telles	t ɛ l
éraflures	e ʁ a f l y ʁ
établi	e t a b ʎ i
établissement	e t a b ʎ i s m ɑ̃
étais	e t ɛ
tels	t ɛ l
étaitce	e t e t s
étaitce	e t e t ɛ s
étaitce	e t ɛ
étaitce	e t ɛ a s
étaitce	e t ɛ e s
étaitce	e t ɛ s
étaitce	e t ɛ t s
étaitce	e t ɛ t ɛ s
supérieurlà	s y p e ʁ j œ ʁ l a
supérieurlà	s y p e ʁ j œ ʁ ɛ l a
tempe	t ɑ̃ p
étala	e t a l a
tempsci	t ɑ̃ p i
tempsci	t ɑ̃ p s i
étalant	e t a l ɑ̃
surexcité	s y ʁ ɛ k s i t e
surgi	s y ʁ ʒ i
tempête	t ɑ̃ p ɛ t
tempêter	t ɑ̃ p ɛ t e
étalé	e t a l e
surgir	s y ʁ ʒ i ʁ
surin	s y ʁ ɛ̃
étalée	e t a l e
tenaitil	t ə n a t i
tenaitil	t ə n e t i
tenaitil	t ə n ɛ t i
suriner	s y ʁ i n e
état	e t a
surnageait	s y ʁ n a ʒ ɛ
surprenante	s y ʁ p ʁ ə n ɑ̃ t
éteindre	e t ɛ̃ d ʁ
éteinte	e t ɛ̃ t
surprises	s y ʁ p ʁ i z
étendu	e t ɑ̃ d y
tendres	t ɑ̃ d ʁ
étendus	e t ɑ̃ d y
tendresse	t ɑ̃ d ʁ ɛ s
surveillaient	s y ʁ v ɛ j ɛ
surveillant	s y ʁ v ɛ j ɑ̃
éternelle	e t ɛ ʁ n ɛ l
étincelait	e t ɛ̃ s l ɛ
étiole	e t j ɔ l
étionsnous	e t j ɔ̃ n u
étoiles	e t w a l
tendslui	t ɑ̃ a s ə l ɥ i
tendslui	t ɑ̃ d s l ɥ i
tendslui	t ɑ̃ l ɥ i
tendslui	t ɑ̃ s l ɥ i
étonnant	e t ɔ n ɑ̃
étonnerait	e t ɔ n ʁ ɛ
étouffée	e t u f e
étourdi	e t u ʁ d i
surveillé	s y ʁ v ɛ j e
survenait	s y ʁ v ə n ɛ
suscription	s y s k ʁ i p s j ɔ̃
étourdissement	e t u ʁ d i s m ɑ̃
suspendu	s y s p ɑ̃ d y
teneur	t ə n œ ʁ
suspension	s y s p ɑ̃ s j ɔ̃
sybaris	s i b a ʁ i
tenir	t ə ɲ i ʁ
tenta	t ɑ̃ t a
tentante	t ɑ̃ t ɑ̃ t
étranglée	e t ʁ ɑ̃ ɡ l e
tente	t ɑ̃ t
symphonie	s ɛ̃ f ɔ ɲ i
symptômes	s ɛ̃ p t o m
tentez	t ɑ̃ t e
tenu	t ə n y
synonyme	s i n ɔ ɲ i m
étreignant	e t ʁ ɛ ɲ ɑ̃
tergiversant	t ɛ ʁ ʒ i v ɛ ʁ s ɑ̃
systèmes	s i s t ɛ m
sèchement	s ɛ ʃ m ɑ̃
séchée	s e ʃ e
étroite	e t ʁ w a t
étudia	e t y d j a
étudiant	e t y d j ɑ̃
étudier	e t y d j e
été	e t e
évader	e v a d e
évaluant	e v a l ɥ ɑ̃
évanoui	e v a n w i
évanouissement	e v a n w i s m ɑ̃
éveillé	e v ɛ j e
éventualité	e v ɑ̃ t ɥ a ʎ i t e
évidemment	e v i d a m ɑ̃
évident	e v i d ɑ̃
évier	e v j e
évitait	e v i t ɛ
évolua	e v ɔ l ɥ a
événements	e v ɛ n m ɑ̃
êtes	ɛ t
êtesvous	ɛ t e v u
être	ɛ t ʁ
êtres	ɛ t ʁ
ôtait	o t ɛ
ôté	o t e
œufs	œ f
œuvre	œ v ʁ
termine	t ɛ ʁ m i n
terminus	t ɛ ʁ m i n y s
sénat	s e n a
séparaient	s e p a ʁ ɛ
séparation	s e p a ʁ a s j ɔ̃
séparons	s e p a ʁ ɔ̃
séparée	s e p a ʁ e
sépulcral	s e p y l k ʁ a l
terrains	t ɛ ʁ ɛ̃
terrassé	t e ʁ a s e
terrassé	t ɛ ʁ a s e
sépulcres	s e p y l k ʁ
terreux	t ɛ ʁ ø
terriblement	t ɛ ʁ i b l ə m ɑ̃
terrifiait	t ɛ ʁ i f j ɛ
terrifié	t ɛ ʁ i f j e
terré	t ɛ ʁ e
tesson	t e s ɔ̃
testament	t ɛ s t a m
testament	t ɛ s t a m ɑ̃
sévérité	s e v e ʁ i t e
thalweg	t a l w ɛ ɡ
thespis	t ɛ s p i
thisbé	t i z b e
thouars	t w a ʁ
tiare	t j a ʁ
tickets	t i c ɛ t
tiendrez	t j ɛ̃ d ʁ e
tige	t i ʒ
sûrs	s y ʁ
timbrés	t ɛ̃ b ʁ e
timidité	t i m i d i t e
tintamarre	t ɛ̃ t a m a ʁ
tirage	t i ʁ a ʒ
tiraillaient	t i ʁ a j ɛ
tirait	t i ʁ ɛ
tirant	t i ʁ ɑ̃
tirelaine	t i ʁ l ɛ n
tireur	t i ʁ œ ʁ
tirés	t i ʁ e
tisons	t i z ɔ̃
titan	t i t a n
titan	t i t ɑ̃
tiède	t j ɛ d
tocsin	t ɔ k s ɛ̃
toiles	t w a l
toilettes	t w a l ɛ t
sœurs	s œ ʁ
sabattit	s a b a t i
sabattit	s a b a t i t i
sabsentait	s a s ɑ̃ t ɛ
tolérance	t ɔ l e ʁ ɑ̃ s
saccordait	s a k ɔ ʁ d ɛ
tombant	t ɔ̃ b ɑ̃
tombe	t ɔ̃ b
tombeaux	t ɔ̃ b o
tombereaux	t ɔ̃ b ʁ o
saccusait	s a k y z ɛ
sacharne	s a ʃ a ʁ n
tombés	t ɔ̃ b e
tondu	t ɔ̃ d y
tonneau	t ɔ n o
sachevait	s a ʃ v ɛ
tonorgue	t o n ɔ ʁ ɡ
tonorgue	t ɔ n ɔ ʁ ɡ
tord	t ɔ ʁ
tordent	t ɔ ʁ d
saffaissa	s a a f e s a
saffaissa	s a a f ɛ s a
saffaissa	s a f ɛ s a
tordit	t ɔ ʁ d i
tordu	t ɔ ʁ d y
torrent	t ɔ ʁ ɑ̃
torse	t ɔ ʁ s
tort	t ɔ ʁ
tortueux	t ɔ ʁ t ɥ ø
torture	t ɔ ʁ t y ʁ
totale	t ɔ t a l
touchante	t u ʃ ɑ̃ t
touchera	t u ʃ ʁ a
touchât	t u ʃ ɑ
touffe	t u f
saffola	s a f ɔ l a
tour	t u ʁ
sagit	s a ʒ i
tourbillonnaient	t u ʁ b i j ɔ n ɛ
sagitil	s a ʒ i t i
tournait	t u ʁ n ɛ
sajoutèrent	s a ʒ u t ɛ ʁ
samuse	s a m y z
tourner	t u ʁ n e
samuser	s a m y z e
tournez	t u ʁ n e
saperçut	s a p ɛ ʁ s y
tournon	t u ʁ n ɔ̃
sappellent	s a p ɛ l
tournât	t u ʁ n ɑ
tournées	t u ʁ n e
tourtereaux	t u ʁ t ə ʁ o
toussent	t u s
sapprochèrent	s a a p ʁ ɔ ʃ ɛ ʁ
sapprochèrent	s a p ʁ ɔ ʃ ɛ ʁ
sapprochèrent	s a z a p ʁ ɔ ʃ ɛ ʁ
toux	t u
traducteurs	t ʁ a d y k t œ ʁ
tradunt	t ʁ ɛ d ɛ̃
sarrachait	s a ʁ a a ʃ ɛ
sarrachait	s a ʁ a ʃ ɛ
trahissait	t ʁ a i
trahissait	t ʁ a i s ɛ
trahissait	t ʁ i s ɛ
traite	t ʁ ɛ t
sarrêtant	s a ʁ ɛ t ɑ̃
traits	t ʁ ɛ t
sasseoir	s a s w a ʁ
trajectoire	t ʁ a ʒ ɛ k t w a ʁ
trame	t ʁ a m
tranchants	t ʁ ɑ̃ ʃ ɑ̃
sassura	s a s y ʁ a
tranquillité	t ʁ ɑ̃ c i ʎ i t e
transcrivons	t ʁ ɑ̃ s k ʁ i v ɔ̃
sattaque	s a t a k
transfiguration	t ʁ ɑ̃ s f i ɡ y ʁ a s j ɔ̃
transfigurée	t ʁ ɑ̃ s f i ɡ y ʁ e
sattendait	s a t ɑ̃ d ɛ
transforme	t ʁ ɑ̃ s f ɔ ʁ m
savancer	s a v ɑ̃ s e
transi	t ʁ ɑ̃ s i
transi	t ʁ ɑ̃ z i
transige	t ʁ ɑ̃ z i ʒ
transmettre	t ʁ ɑ̃ s m ɛ t ʁ
transnonain	t ʁ ɑ̃ s n ɔ n ɛ̃
transparence	t ʁ ɑ̃ s p a ʁ ɑ̃ s
transportés	t ʁ ɑ̃ s p ɔ ʁ t e
transversale	t ʁ ɑ̃ z v ɛ ʁ s a l
trappe	t ʁ a p
trapèze	t ʁ a p ɛ z
traqueur	t ʁ a k œ ʁ
traquée	t ʁ a c e
savisa	s a v i z a
travaillant	t ʁ a v a j ɑ̃
travaillent	t ʁ a v a j
travailleurs	t ʁ a v a j œ ʁ
travaillèrent	t ʁ a v a j ɛ ʁ
seffaça	s ɛ f a s a
traversèrent	t ʁ a v ɛ ʁ s ɛ ʁ
sefforçait	s e f ɔ ʁ s ɛ
traversée	t ʁ a v ɛ ʁ s e
sembarquaient	s ɑ̃ b a ʁ c ɛ
traînaient	t ʁ ɛ n ɛ
traîne	t ʁ ɛ n
traînement	t ʁ ɛ n m ɑ̃
traîner	t ʁ ɛ n e
traîné	t ʁ ɛ n e
sen	s e n
sen	s ɛ n
traître	t ʁ ɛ t ʁ
traîtres	t ʁ ɛ t ʁ
treize	t ʁ ɛ z
trembla	t ʁ ɑ̃ b l a
senchaîne	s ɑ̃ ʃ ɛ n
senchaîne	z ɑ̃ ʃ ɛ n
tremblante	t ʁ ɑ̃ b l ɑ̃ t
tremble	t ʁ ɑ̃ b l
sendormit	s ɑ̃ d ɔ ʁ m i
senfuir	s ɑ̃ f ɥ i ʁ
tremblez	t ʁ ɑ̃ b l e
sengage	s ɑ̃ ɡ a ʒ
sengage	z ɑ̃ ɡ a ʒ
trempé	t ʁ ɑ̃ p e
trentsix	t ʁ ɑ̃ ts i
trentedeux	t ʁ ɑ̃ t d ø
trentedeux	t ʁ ɑ̃ t ə d ø
trentedeux	t ʁ ɛ d ø
trentedeux	t ʁ ɛ n t e d ø
trenteetun	t ʁ ɑ̃ t i t ɛ̃
trenteetun	t ʁ ɑ̃ t ɛ t ɛ̃
sentretint	s ɑ̃ t ʁ ə t ɛ̃
senveloppait	s ɑ̃ v l ɔ p ɛ
trentesept	t ʁ ɑ̃ t p t
trentesept	t ʁ ɑ̃ t s ɛ
trentesix	t ʁ ɑ̃ t
trentesix	t ʁ ɑ̃ t e s i
trentesix	t ʁ ɑ̃ t i
trentesix	t ʁ ɑ̃ t s
trentesix	t ʁ ɑ̃ t ɛ
trentesix	t ʁ ɑ̃ t ɛ s ɛ
sestil	s ɛ s t i l
sestil	s ɛ t i
sestil	s ɛ t i l
trentetrois	t ʁ ɑ̃ t ɛ t ʁ w a
trentetrois	t ʁ ɛ n t e t ʁ w a
tressaillait	t ʁ a j ɛ
sexaspérait	s ɛ ɡ z a s p e ʁ ɛ
tressaillement	t ʁ a j m ɑ̃
tressaillement	t ʁ a j ø z m ɑ̃
tressaillement	t ʁ e s a j m ɑ̃
tressaillement	t ʁ s a j m ɑ̃
tressaillement	t ʁ z a j m ɑ̃
tressaillement	t ʁ ɑ j m ɑ̃
tressailli	t ʁ a j i
tribulations	t ʁ i b y l a s j ɔ̃
tribunaux	t ʁ i b y n o
trichant	t ʁ i ʃ ɑ̃
tricot	t ʁ i k o
sexplique	s ɛ k s p ʎ i k
trimballés	t ʁ ɛ̃ b a l e
triomphaient	t ʁ i j ɔ̃ f
triomphaient	t ʁ i j ɔ̃ f ɛ
sexpliquerait	s ɛ k s p ʎ i k ʁ ɛ
triomphante	t ʁ i j ɔ̃ f ɑ̃ t
triple	t ʁ i p l
tripot	t ʁ i p o
tripot	t ʁ i p ɔ t
tripote	t ʁ i p ɔ t
sil	s i l
sillusionner	s i l y z j ɔ n e
tristesse	t ʁ i s t ɛ s
triton	t ʁ i t ɔ̃
troie	t ʁ w a
trois	t ʁ w a
trois	t ʁ w ɑ
sincliner	s ɛ̃ k ʎ i n e
sinforma	s ɛ̃ f ɔ ʁ m a
troisième	t ʁ w a z j ɛ m
trompais	t ʁ ɔ̃ p ɛ
trompe	t ʁ ɔ̃ p
tromper	t ʁ ɔ̃ p e
sinquiète	s ɛ̃ c ɛ t
trompette	t ʁ ɔ̃ p ɛ t
trompez	t ʁ ɔ̃ p e
trompés	t ʁ ɔ̃ p e
tronqué	t ʁ ɔ̃ c e
tronçons	t ʁ ɔ̃ s ɔ̃
troque	t ʁ ɔ k
trot	t ʁ o
sinstalle	s ɛ̃ s t a l
sinstalle	z ɛ̃ s t a l
trottoir	t ʁ ɔ t w a ʁ
sinterposa	s ɛ̃ t ɛ ʁ p o z a
troublait	t ʁ u b l ɛ
troubler	t ʁ u b l e
troubles	t ʁ u b l
troue	t ʁ u
troupes	t ʁ u p
trous	t ʁ u
trousseau	t ʁ u s o
trouvaient	t ʁ u v ɛ
trouvais	t ʁ u v ɛ
trouvaitil	t ʁ u v e t i
trouve	t ʁ u v
trouver	t ʁ u v e
trouvera	t ʁ u v ʁ a
trouverai	t ʁ u v ʁ e
trouverez	t ʁ u v ʁ e
trouverezvous	t ʁ u v ʁ e v u
trouville	t ʁ u v i l
trouvât	t ʁ u v ɑ
trouvé	t ʁ u v e
trouvée	t ʁ u v e
troué	t ʁ w e
trouée	t ʁ u e
trucs	t ʁ y k
soccupa	s ɔ k y p a
truquée	t ʁ y c e
truquées	t ʁ y c e
trébuchait	t ʁ e b y ʃ ɛ
trépidait	t ʁ e p i d ɛ
soccuper	s ɔ k y p e
trésor	t ʁ e z ɔ ʁ
trêve	t ʁ ɛ v
trône	t ʁ o n
tua	t ɥ a
tubulaire	t y b y l ɛ ʁ
tudier	t y d j e
tue	t y
tuent	t y
tuent	t ɥ
tuer	t ɥ e
tuerie	t y ʁ i
tuileries	t ɥ i l ʁ i
tulipes	t y ʎ i p
tumultueuse	t y m y l t ɥ ø z
tumultueux	t y m y l t ɥ ø
tunnel	t y n ɛ l
turc	t y ʁ k
turpitude	t y ʁ p i t y d
turris	t u ʁ i
turris	t y ʁ i
tut	t y
soffrirait	s ɔ f ʁ i ʁ ɛ
sorganise	s ɔ ʁ ɡ a ɲ i z
tuteur	t y t œ ʁ
tutoiement	t y t w a m ɑ̃
tutoyait	t y t w a j ɛ
sébranlait	s e b ʁ ɑ̃ l ɛ
tuyau	t ɥ i j o
séchappait	s e ʃ a p ɛ
tuyaux	t ɥ i j o
tuyaux	t ɥ i j ø
tuyaux	t ɥ i o
tué	t ɥ e
tués	t ɥ e
type	t i p
types	t i p
tyr	t i ʁ
tyran	t i ʁ ɑ̃
tyrannica	t i ʁ a ɲ i k a
sécouler	s e k u l e
tâcha	t ɑ ʃ a
tâchaient	t ɑ ʃ ɛ
sécrire	s e k ʁ i ʁ
sécroulait	s e k ʁ u l ɛ
tâcher	t a ʃ e
tâcher	t ɑ ʃ e
sélança	s e l ɑ̃ s a
tâches	t ɑ ʃ
tâta	t a t a
séloignaient	s e l w a ɲ ɛ
tâtaient	t a a t ɛ
tâtaient	t a t ɛ
séloignèrent	s e l w a ɲ ɛ ʁ
tâte	t ɑ t
sépanouissait	s e p a n w i s ɛ
tâter	t ɑ t e
sétend	s e t ɑ̃
tâtonnement	t ɑ t ɔ n m ɑ̃
sétendait	s e t ɑ̃ d ɛ
sétonnaitelle	s e t ɔ n ɛ t ɛ l
tâtons	t ɑ t ɔ̃
sévanouît	s e v a n w i
tâtée	t a t e
tâtée	t ɑ t e
t	t
t	t a
t	t e
t'a	t a
t'abandonner	t a b ɑ̃ d ɔ n e
téglathphalasar	t e ɡ l a t ɔ f a l a z a ʁ
téglathphalasar	t e ɡ l i f a l a z a ʁ
télégraphier	t e l e ɡ ʁ a f j e
téléphonait	t e l e f ɔ n ɛ
t'aimetoi	t e m t w a
t'aimetoi	t e m ə t w a
t'aimetoi	t m ə t w a
t'aimetoi	t ɛ m ə t w a
téléphoner	t e l e f ɔ n e
téléphonique	t e l e f ɔ ɲ i k
t'avait	t a v ɛ
t'avait	t v ɛ
téléphoné	t e l e f ɔ n e
t'en	t ɑ̃
témoigner	t e m w a ɲ e
t'ennuierait	t ɑ̃ n ɥ i ʁ ɛ
témoins	t e m w ɛ̃
ténacité	t e n a s i t e
ténébreuse	t e n e b ʁ ø z
ténébreuses	t e n e b ʁ ø z
t'obéirais	t ɔ b e i ʁ ɛ
ténébreux	t e n e b ʁ ø
t'ouvre	t u v ʁ
t'ouvre	t z u v ʁ
térébenthine	t e ʁ e b ɑ̃ t i n
térébenthine	t e ʁ e b ɛ̃ t i n
t'étais	t e t ɛ
tête	t ɛ t
têtes	t ɛ t
tôle	t o l
tôt	t o
tablette	t a b l ɛ t
taches	t a ʃ
tacites	t a s i t
tinquiète	t ɛ̃ c ɛ t
ulcères	y l s ɛ ʁ
taffetas	t a f t ɑ
tailladé	t a j a d e
tailladé	t ɑ j a d e
unanimement	y n a ɲ i m ɑ̃
taillé	t a j e
tails	t a j
uniforme	y ɲ i f ɔ ʁ m
unique	y ɲ i k
taise	t ɛ z
talents	t a l ɑ̃
uniquement	y ɲ i k m ɑ̃
tambourinage	t ɑ̃ b u ʁ i n a ʒ
unité	y ɲ i t e
tapecul	t a p k y
tapotait	t a p ɔ t ɛ
taquinant	t a c i n ɑ̃
taquinerie	t a c i n ʁ i
tarda	t a ʁ d a
tarissait	t a ʁ i s ɛ
tassement	t ɑ s m ɑ̃
taupinière	t o p i ɲ ɛ ʁ
teinté	t ɛ̃ t e
universel	y ɲ i v ɛ ʁ s ɛ l
universelles	y ɲ i v ɛ ʁ s ɛ l
tempérament	t ɑ̃ p e ʁ a m ɑ̃
urbis	y ʁ b i
tenaient	t n ɛ
tenaient	t ə n ɛ
tenaillé	t ə n a j e
usait	y z ɛ
tenant	t ə n ɑ̃
usent	y z
usurpation	y z y ʁ p a s j ɔ̃
utile	y t i l
utiles	y t i l
utilité	y t i ʎ i t e
v	v
v	v e
va	v a
vaetvient	v e e t e v i
vaetvient	v e t e v i
vat'en	v a t ɑ̃
tendant	t ɑ̃ d ɑ̃
vatil	v a t i
vatil	v a t i l
tendirent	t ɑ̃ d i ʁ
vacances	v a k ɑ̃ s
vachère	v a ʃ ɛ ʁ
vacillation	v a s i l a s j ɔ̃
vade	v a d
vadé	v a d e
vagabonde	v a ɡ a b ɔ̃ d
vagabonds	v a ɡ a b ɔ̃
vague	v a ɡ
vaguement	v a ɡ m ɑ̃
vagues	v a ɡ
vaillants	v a j ɑ̃
vain	v ɛ̃
vaincre	v ɛ̃ k ʁ
vaincue	v ɛ̃ k y
vainement	v ɛ n m ɑ̃
tendrons	t ɑ̃ d ʁ ɔ̃
tendus	t ɑ̃ d y
vais	v ɛ
vaisselles	v ɛ s ɛ a s ɛ l
vaisselles	v ɛ s ɛ l
vaisselles	v ɛ s ɛ s ɛ l
vaisselles	v ɛ s ɛ ɛ s ɛ l
valait	v a l ɛ
valet	v a l ɛ
tension	t ɑ̃ s j ɔ̃
tentant	t ɑ̃ t ɑ̃
valeur	v a l œ ʁ
tentations	t ɑ̃ t a s j ɔ̃
tenter	t ɑ̃ t e
tenté	t ɑ̃ t e
tentée	t ɑ̃ t e
valez	v a l e
valise	v a ʎ i z
tergiverser	t ɛ ʁ ʒ i v ɛ ʁ s e
valjean	v a l dʒ i n
terminait	t ɛ ʁ m i n ɛ
terrasses	t e ʁ a s
vancouver	v ɑ̃ k u v e
vapeur	v a p œ ʁ
vareuse	v a ʁ ø z
variait	v a ʁ j ɛ
variés	v a ʁ j e
terreur	t ɛ ʁ œ ʁ
vastu	v a s t y
vases	v a s
vases	v a z
vastes	v a s t
vaul'eau	v o l o
terrifiante	t ɛ ʁ i f j ɑ̃ t
vaut	v o
vautil	v o t i
tette	t ɛ t
teuthranis	t ø t ʁ a ɲ i
théorie	t e ɔ ʁ i
théories	t e ɔ ʁ i
ve	v
ve	v e
vedettes	v ə d ɛ t
tientil	t j ɛ n t i
tientil	t j ɛ n t i l
tientil	t j ɛ̃ t i
tientil	t j ɛ̃ t i l
veillerai	v ɛ j ʁ e
veillez	v ɛ j e
velours	v ə l u ʁ
tigres	t i ɡ ʁ
venais	v ə n ɛ
timbres	t ɛ̃ b ʁ
venant	v ə n ɑ̃
tint	t ɛ̃
vendette	v ɑ̃ d ɛ t
tiquante	t i k ɑ̃ t
venge	v ɑ̃ ʒ
tirailler	t i ʁ ɑ j e
vengera	v ɑ̃ ʒ ʁ a
tirailleurs	t i ʁ a j œ ʁ
tirailleurs	t i ʁ ɑ j œ ʁ
venons	v ə n ɔ̃
vente	v ɑ̃ t
ventregoulette	v ɑ̃ t ʁ ə ɡ u l ɛ t
tirecuir	t i ʁ ə k ɥ i ʁ
venue	v ə n y
tireraitil	t i ʁ ə ʁ e t i
tireraitil	t i ʁ ə ʁ ɛ t i
venues	v ə n y
tiré	t i ʁ e
verbal	v ɛ ʁ b a l
verdier	v ɛ ʁ d j e
verdure	v ɛ ʁ d y ʁ
verdâtre	v ɛ ʁ d ɑ t ʁ
tisserands	t i s ʁ ɑ̃
vermeille	v ɛ ʁ m ɛ j
titans	t i t a n
vermine	v ɛ ʁ m i n
verra	v ɛ ʁ a
verrai	v ɛ ʁ e
verras	v ɛ ʁ ɑ
tityre	t i t i ʁ
verreries	v ɛ ʁ ə ʁ i
verront	v ɛ ʁ ɔ̃
verroterielà	v ɛ ʁ ɔ t ʁ i a
verroterielà	v ɛ ʁ ɔ t ʁ i j ɛ l a
verroterielà	v ɛ ʁ ɔ t ʁ i l a
verrouillât	v ɛ ʁ u j ɑ
verrues	v ɛ ʁ y
versa	v ɛ ʁ s a
versailles	v ɛ ʁ s ɑ j
verse	v ɛ ʁ s
version	v ɛ ʁ s j ɔ̃
vert	v ɛ ʁ
verte	v ɛ ʁ t
vertes	v ɛ ʁ t
vertical	v ɛ ʁ t i k a l
verts	v ɛ ʁ
toisa	t w a z a
vertu	v ɛ ʁ t y
vertubamboche	v ɛ ʁ t y b ɑ̃ b ɔ ʃ
vertuchou	v ɛ ʁ t y ʃ u
vestiaire	v ɛ s t j ɛ ʁ
toise	t w a z
vestiges	v ɛ s t i ʒ
veto	v e t o
veuillez	v œ j e
veuton	v ø t ɔ̃
veuve	v œ v
veux	v ø
vexé	v ɛ k s e
viande	v j ɑ̃ d
vibrante	v i b ʁ ɑ̃ t
vicieux	v i s j ø
victoire	v i k t w a ʁ
victorieux	v i k t ɔ ʁ j ø
vide	v i d
tombiez	t ɔ̃ b j e
vidé	v i d e
tombé	t ɔ̃ b e
tombée	t ɔ̃ b e
vieil	v j
vieil	v j ɛ j
vieille	v j ɛ j
vieilles	v j ɛ j
vieillot	v j ɛ j o
viendrai	v j ɛ̃ d ʁ e
viendrait	v j ɛ̃ d ʁ ɛ
tome	t ɔ m
viendrez	v j ɛ̃ d ʁ e
tonnante	t ɔ n ɑ̃ t
vienstu	v j ɛ n s t y
vienstu	v j ɛ̃ s t y
tonnelets	t ɔ n ə l ɛ
tonnelets	t ɔ n ɛ l ɛ t
tonnelets	t ɔ n ɛ ɛ
vient	v i
vient	v j ɛ̃
vientil	v j ɑ̃ t i
vientil	v j ɛ n t i
vientil	v j ɛ n t i l
vientil	v j ɛ̃ t i
vientil	v j ɛ̃ t i l
torches	t ɔ ʁ ʃ
torpeur	t ɔ ʁ p œ ʁ
torsion	t ɔ ʁ s j ɔ̃
vif	v i f
touchant	t u ʃ ɑ̃
touchent	t u ʃ
vigoureusement	v i ɡ u ʁ ø z m ɑ̃
touchiez	t u ʃ j e
villages	v i l a ʒ
villette	v i l ɛ t
