dijo	d̪ i x o
rogándonos	r o ɣ a n d̪ o n o s
seis	s e i s
saqueada	s a c e a ð a
rojo	r o x o
sello	s e ʎ o
selvas	s e l β a s
rollizos	r o ʎ i θ o s
semana	s e m a n a
saqué	s a c e
semanita	s e m a n i t̪ a
semblante	s e m b l a n t̪ e
romano	r o m a n o
romeros	r o m e ɾ o s
semblantes	s e m b l a n t̪ e s
sartas	s a r t̪ a s
sembrar	s e m b ɾ a ɾ
semejaban	s e m e x a β a n
rompiendo	r o m p j e n d̪ o
semejante	s e m e x a n t̪ e
semejantes	s e m e x a n t̪ e s
satisfacen	s a t̪ i s f a θ e n
semejanza	s e m e x a n θ a
satisfactoriamente	s a t̪ i s f a ɣ t̪ o ɾ j a m e n t̪ e
romántica	r o m a n t̪ i k a
semos	s e m o s
roncos	r o ŋ k o s
sencilla	s e n θ i ʎ a
satisficiera	s a t̪ i s f i θ j e ɾ a
rondando	r o n d̪ a n d̪ o
sencillez	s e n θ i ʎ e θ
satíricos	s a t̪ i ɾ i k o s
sauterelle	s a u t̪ e ɾ e ʎ e
sencillos	s e n θ i ʎ o s
sendos	s e n d̪ o s
seno	s e n o
sea	s e a
sensaciones	s e n s a θ j o n e s
rosas	r o s a s
sensibilidad	s e n s i β i l i ð a ð
seamos	s e a m o s
rosca	r o s k a
sensible	s e n s i β l e
seas	s e a s
sentaba	s e n t̪ a β a
seca	s e k a
sentadas	s e n t̪ a ð a s
secarse	s e k a r s e
sentados	s e n t̪ a ð o s
seco	s e k o
sentar	s e n t̪ a ɾ
rotundamente	r o t̪ u n d̪ a m e n t̪ e
sentara	s e n t̪ a ɾ a
rozagante	r o θ a ɣ a n t̪ e
sentemos	s e n t̪ e m o s
secretaría	s e k ɾ e t̪ a ɾ i a
rozó	r o θ o
sentidas	s e n t̪ i ð a s
sentido	s e n t̪ i ð o
rubita	r u β i t̪ a
sentidos	s e n t̪ i ð o s
ruborizada	r u β o ɾ i θ a ð a
sentimiento	s e n t̪ i m j e n t̪ o
ruborosa	r u β o ɾ o s a
secuestradores	s e k w e s t̪ ɾ a ð o ɾ e s
rudo	r u ð o
sentimientos	s e n t̪ i m j e n t̪ o s
sederías	s e ð e ɾ i a s
rueda	r w e ð a
sentir	s e n t̪ i ɾ
sediento	s e ð j e n t̪ o
seducción	s e ð u ɣ θ j o n
sentirles	s e n t̪ i r l e s
seducido	s e ð u θ i ð o
sentiré	s e n t̪ i ɾ e
seductor	s e ð u ɣ t̪ o ɾ
rugiendo	r u x j e n d̪ o
sentiste	s e n t̪ i s t̪ e
seduzcáis	s e ð u θ k a i s
sentándose	s e n t̪ a n d̪ o s e
segara	s e ɣ a ɾ a
sentí	s e n t̪ i
seguida	s e ʝ i ð a
ruidosamente	r w i ð o s a m e n t̪ e
sentíais	s e n t̪ i a i s
sentían	s e n t̪ i a n
seguido	s e ʝ i ð o
sentís	s e n t̪ i s
seguimiento	s e ʝ i m j e n t̪ o
sepa	s e p a
sepamos	s e p a m o s
separaba	s e p a ɾ a β a
seguirme	s e ʝ i r m e
separación	s e p a ɾ a θ j o n
ruso	r u s o
separamos	s e p a ɾ a m o s
seguirte	s e ʝ i r t̪ e
separaran	s e p a ɾ a ɾ a n
seguiría	s e ʝ i ɾ i a
separarme	s e p a ɾ a r m e
seguisteis	s e ʝ i s t̪ e i s
rutinas	r u t̪ i n a s
separarse	s e p a ɾ a r s e
ráfagas	r a f a ɣ a s
separará	s e p a ɾ a ɾ a
separase	s e p a ɾ a s e
seguramente	s e ɣ u ɾ a m e n t̪ e
rápido	r a p i ð o
separándose	s e p a ɾ a n d̪ o s e
sepulchra	s e p u l k ɾ a
régimen	r e ç i m e n
sepulcro	s e p u l k ɾ o
ríe	r i e
sepulcros	s e p u l k ɾ o s
seguí	s e ʝ i
sepultura	s e p u l t̪ u ɾ a
sequedad	s e c e ð a ð
selecto	s e l e ɣ t̪ o
rígidos	r i ç i ð o s
ríos	r i o s
ser	s e ɾ
semanas	s e m a n a s
rústica	r u s t̪ i k a
serena	s e ɾ e n a
rústicos	r u s t̪ i k o s
serenaron	s e ɾ e n a ɾ o n
serenidad	s e ɾ e n i ð a ð
sereno	s e ɾ e n o
sembrados	s e m b ɾ a ð o s
sabedora	s a β e ð o ɾ a
serenos	s e ɾ e n o s
serenísimo	s e ɾ e n i s i m o
seres	s e ɾ e s
sementeras	s e m e n t̪ e ɾ a s
seretiraran	s e r e t̪ i ɾ a ɾ a n
seretiraran	s e ɾ e t̪ i ɾ a ɾ a n
senado	s e n a ð o
seriedad	s e ɾ j e ð a ð
sencillamente	s e n θ i ʎ a m e n t̪ e
serio	s e ɾ j o
sencillo	s e n θ i ʎ o
sabiamente	s a β j a m e n t̪ e
serme	s e r m e
senda	s e n d̪ a
sabios	s a β j o s
sermón	s e r m o n
sendas	s e n d̪ a s
seros	s e ɾ o s
senescales	s e n e s k a l e s
serpenteaban	s e r p e n t̪ e a β a n
sensación	s e n s a θ j o n
servicio	s e r β i θ j o
servicios	s e r β i θ j o s
sensibles	s e n s i β l e s
saborcillo	s a β o ɾ θ i ʎ o
sentaban	s e n t̪ a β a n
sabrá	s a β ɾ a
servidor	s e r β i ð o ɾ
sentado	s e n t̪ a ð o
sabré	s a β ɾ e
servidumbre	s e r β i ð u m b ɾ e
sentamos	s e n t̪ a m o s
servilismo	s e r β i l i s m o
servirle	s e r β i r l e
senteme	s e n t̪ e m e
sabíamos	s a β i a m o s
serviros	s e r β i ɾ o s
sentencia	s e n t̪ e n θ j a
sabías	s a β i a s
servirás	s e r β i ɾ a s
sacaban	s a k a β a n
serví	s e r β i
servía	s e r β i a
sacar	s a k a ɾ
servíanme	s e r β i m e
sentimentalismo	s e n t̪ i m e n t̪ a l i s m o
será	s e ɾ a
sacarla	s a k a r l a
serás	s e ɾ a s
sentimos	s e n t̪ i m o s
seré	s e ɾ e
sería	s e ɾ i a
sacarse	s a k a r s e
serían	s e ɾ i a n
sentirse	s e n t̪ i r s e
sesgo	s e s ɣ o
sentiría	s e n t̪ i ɾ i a
sacaré	s a k a ɾ e
seso	s e s o
sentose	s e n t̪ o s e
sestear	s e s t̪ e a ɾ
sentándome	s e n t̪ a n d̪ o m e
setenta	s e t̪ e n t̪ a
severa	s e β e ɾ a
sentía	s e n t̪ i a
severidad	s e β e ɾ i ð a ð
sacia	s a θ j a
sexo	s e ɣ s o
saciar	s a θ j a ɾ
sexos	s e ɣ s o s
seña	s e ɲ a
sacome	s a k o m e
señalaba	s e ɲ a l a β a
sacrificados	s a k ɾ i f i k a ð o s
señalar	s e ɲ a l a ɾ
señalarme	s e ɲ a l a r m e
separado	s e p a ɾ a ð o
sacristanes	s a k ɾ i s t̪ a n e s
señales	s e ɲ a l e s
separados	s e p a ɾ a ð o s
señalome	s e ɲ a l o m e
separar	s e p a ɾ a ɾ
señaló	s e ɲ a l o
separaremos	s e p a ɾ a ɾ e m o s
sacudiendo	s a k u ð j e n d̪ o
señas	s e ɲ a s
separarnos	s e p a ɾ a r n o s
señor	s e ɲ o ɾ
separaré	s e p a ɾ a ɾ e
sacudiéndome	s a k u ð j e n d̪ o m e
sacudían	s a k u ð i a n
sacó	s a k o
saeclum	s a e k l u m
separemos	s e p a ɾ e m o s
sagradas	s a ɣ ɾ a ð a s
sainete	s a i n e t̪ e
sainetes	s a i n e t̪ e s
salada	s a l a ð a
salario	s a l a ɾ j o
saldrá	s a l d̪ ɾ a
saldría	s a l d̪ ɾ i a
salgamos	s a l ɣ a m o s
salid	s a l i ð
señora	s e ɲ o ɾ a
salieran	s a l j e ɾ a n
separó	s e p a ɾ o
saliese	s a l j e s e
septentrionales	s e β t̪ e n t̪ ɾ j o n a l e s
sepultar	s e p u l t̪ a ɾ
sepuso	s e p u s o
sepáis	s e p a i s
señoras	s e ɲ o ɾ a s
serenarse	s e ɾ e n a r s e
serenándome	s e ɾ e n a n d̪ o m e
serez	s e ɾ e θ
seria	s e ɾ j a
serias	s e ɾ j a s
serie	s e ɾ j e
serlo	s e r l o
señores	s e ɲ o ɾ e s
salirse	s a l i r s e
señorita	s e ɲ o ɾ i t̪ a
señoritas	s e ɲ o ɾ i t̪ a s
señorito	s e ɲ o ɾ i t̪ o
señoritos	s e ɲ o ɾ i t̪ o s
señá	s e ɲ a
si	s i
sibila	s i β i l a
siempre	s j e m p ɾ e
sernos	s e r n o s
sien	s j e n
sienes	s j e n e s
serpenteando	s e r p e n t̪ e a n d̪ o
salmantinos	s a l m a n t̪ i n o s
sienta	s j e n t̪ a
salpicándonos	s a l p i k a n d̪ o n o s
sienten	s j e n t̪ e n
saltado	s a l t̪ a ð o
siento	s j e n t̪ o
servidas	s e r β i ð a s
saltar	s a l t̪ a ɾ
servido	s e r β i ð o
sierra	s j e r a
servidores	s e r β i ð o ɾ e s
saltos	s a l t̪ o s
sierras	s j e r a s
servil	s e r β i l
siga	s i ɣ a
servimos	s e r β i m o s
sigamos	s i ɣ a m o s
servirame	s e r β i ɾ a m e
saludaba	s a l u ð a β a
siglos	s i ɣ l o s
servirme	s e r β i r m e
saludado	s a l u ð a ð o
saludando	s a l u ð a n d̪ o
significan	s i ɣ n i f i k a n
serviría	s e r β i ɾ i a
servían	s e r β i a n
sigo	s i ɣ o
servís	s e r β i s
saludonos	s a l u ð o n o s
sigue	s i ʝ e
saludándonos	s a l u ð a n d̪ o n o s
sigues	s i ʝ e s
serán	s e ɾ a n
salvaba	s a l β a β a
siguiente	s i ɣ j e n t̪ e
siguientes	s i ɣ j e n t̪ e s
seréis	s e ɾ e i s
salvado	s a l β a ð o
siguiera	s i ɣ j e ɾ a
ses	s e s
salvados	s a l β a ð o s
siguieron	s i ɣ j e ɾ o n
sesenta	s e s e n t̪ a
siguiéramos	s i ɣ j e ɾ a m o s
sesos	s e s o s
silbantes	s i l β a n t̪ e s
sesteábamos	s e s t̪ e a β a m o s
salvamos	s a l β a m o s
silencio	s i l e n θ j o
salvar	s a l β a ɾ
silenciosamente	s i l e n θ j o s a m e n t̪ e
severo	s e β e ɾ o
silla	s i ʎ a
salvaros	s a l β a ɾ o s
seáis	s e a i s
salvaré	s a l β a ɾ e
sillas	s i ʎ a s
señal	s e ɲ a l
sillería	s i ʎ e ɾ i a
señalado	s e ɲ a l a ð o
salvoconducto	s a l β o k o n d̪ u ɣ t̪ o
sillón	s i ʎ o n
señalara	s e ɲ a l a ɾ a
silogismo	s i l o ç i s m o
señalarás	s e ɲ a l a ɾ a s
silvestres	s i l β e s t̪ ɾ e s
señalo	s e ɲ a l o
salís	s a l i s
sima	s i m a
señalándome	s e ɲ a l a n d̪ o m e
sanaron	s a n a ɾ o n
simbólica	s i m b o l i k a
sanglant	s a ŋ ɡ l a n t̪
sime	s i m e
similitud	s i m i l i t̪ u ð
simpatizado	s i m p a t̪ i θ a ð o
simplemente	s i m p l e m e n t̪ e
sangría	s a ŋ ɡ ɾ i a
simplezas	s i m p l e θ a s
sanguinario	s a ɲ ɟ i n a ɾ j o
simpática	s i m p a t̪ i k a
simpático	s i m p a t̪ i k o
simulacro	s i m u l a k ɾ o
simultáneamente	s i m u l t̪ a n e a m e n t̪ e
sinfortuna	s i n f o r t̪ u n a
singular	s i ŋ ɡ u l a ɾ
santuario	s a n t̪ w a ɾ j o
singularidades	s i ŋ ɡ u l a ɾ i ð a ð e s
sapos	s a p o s
siniestras	s i ɲ j e s t̪ ɾ a s
señoría	s e ɲ o ɾ i a
siniestros	s i ɲ j e s t̪ ɾ o s
señorías	s e ɲ o ɾ i a s
sino	s i n o
sibilítico	s i β i l i t̪ i k o
sintiendo	s i n t̪ j e n d̪ o
saquillos	s a c i ʎ o s
sintiéndose	s i n t̪ j e n d̪ o s e
sarga	s a r ɣ a
siquiera	s i k j e ɾ a
sirva	s i r β a
sirven	s i r β e n
siente	s j e n t̪ e
sirves	s i r β e s
sientes	s j e n t̪ e s
sastres	s a s t̪ ɾ e s
sirviera	s i r β j e ɾ a
sirvieron	s i r β j e ɾ o n
satisface	s a t̪ i s f a θ e
sistema	s i s t̪ e m a
sistemáticamente	s i s t̪ e m a t̪ i k a m e n t̪ e
siete	s j e t̪ e
satisfaciendo	s a t̪ i s f a θ j e n d̪ o
sitio	s i t̪ j o
satisfecha	s a t̪ i s f e tʃ a
siglo	s i ɣ l o
sitios	s i t̪ j o s
situación	s i t̪ w a θ j o n
satisfizo	s a t̪ i s f i θ o
significaba	s i ɣ n i f i k a β a
satánicas	s a t̪ a n i k a s
situada	s i t̪ w a ð a
saudades	s a u ð a ð e s
situados	s i t̪ w a ð o s
sayones	s a ʝ o n e s
situé	s i t̪ w e
siguen	s i ʝ e n
sobaco	s o β a k o
soberanía	s o β e ɾ a n i a
siguiéndome	s i ɣ j e n d̪ o m e
soberbio	s o β e r β j o
secando	s e k a n d̪ o
sobornar	s o β o r n a ɾ
sobra	s o β ɾ a
silbidos	s i l β i ð o s
secomponía	s e k o m p o n i a
sobras	s o β ɾ a s
silenciosa	s i l e n θ j o s a
silenciosos	s i l e n θ j o s o s
silent	s i l e n t̪
sobre	s o β ɾ e
secretario	s e k ɾ e t̪ a ɾ j o
sobrecogida	s o β ɾ e k o ç i ð a
sobremanera	s o β ɾ e m a n e ɾ a
sobreponerle	s o β ɾ e p o n e r l e
sobresaliente	s o β ɾ e s a l j e n t̪ e
sobresaltos	s o β ɾ e s a l t̪ o s
sobrescrito	s o β ɾ e s k ɾ i t̪ o
sobrina	s o β ɾ i n a
secundarios	s e k u n d̪ a ɾ j o s
sobrinilla	s o β ɾ i n i ʎ a
sobrinita	s o β ɾ i n i t̪ a
silueta	s i l w e t̪ a
sobrino	s o β ɾ i n o
silvas	s i l β a s
seduce	s e ð u θ e
social	s o θ j a l
seducidos	s e ð u θ i ð o s
sociedad	s o θ j e ð a ð
simbolizando	s i m b o l i θ a n d̪ o
seducía	s e ð u θ i a
simpatizaba	s i m p a t̪ i θ a β a
sedujo	s e ð u x o
sociedades	s o θ j e ð a ð e s
simpatía	s i m p a t̪ i a
segar	s e ɣ a ɾ
socorro	s o k o r o
soez	e s o e θ
soez	s o e θ
sofocaban	s o f o k a β a n
simulando	s i m u l a n d̪ o
seguidode	s e ʝ i ð o ð e
sofocación	s o f o k a θ j o n
simétrica	s i m e t̪ ɾ i k a
seguimos	s e ʝ i m o s
sofocado	s o f o k a ð o
sin	s i n
sinceridad	s i n θ e ɾ i ð a ð
singulares	s i ŋ ɡ u l a ɾ e s
singularísima	s i ŋ ɡ u l a ɾ i s i m a
siniestro	s i ɲ j e s t̪ ɾ o
sofocadísimo	s o f o k a ð i s i m o
sofocar	s o f o k a ɾ
sofoques	s o f o c e s
sintieron	s i n t̪ j e ɾ o n
sintiéramos	s i n t̪ j e ɾ a m o s
sirvientes	s i r β j e n t̪ e s
sofás	s o f a s
seguirla	s e ʝ i r l a
sirviese	s i r β j e s e
sois	s o i s
sojuzgar	s o x u θ ɣ a ɾ
sola	s o l a
solamente	s o l a m e n t̪ e
sirvo	s i r β o
solar	s o l a ɾ
sitiada	s i t̪ j a ð a
sitiadoras	s i t̪ j a ð o ɾ a s
sitiados	s i t̪ j a ð o s
soldada	s o l d̪ a ð a
sitiar	s i t̪ j a ɾ
soldado	s o l d̪ a ð o
seguirán	s e ʝ i ɾ a n
soldados	s o l d̪ a ð o s
soledades	s o l e ð a ð e s
solemnemente	s o l e m n e m e n t̪ e
segur	s e ɣ u ɾ
situadas	s i t̪ w a ð a s
solene	s o l e n e
situarse	s i t̪ w a r s e
solicita	s o l i θ i t̪ a
solicitud	s o l i θ i t̪ u ð
solidaridad	s o l i ð a ɾ i ð a ð
sicles	s i k l e s
solitaria	s o l i t̪ a ɾ j a
soberano	s o β e ɾ a n o
solitarios	s o l i t̪ a ɾ j o s
sollozando	s o ʎ o θ a n d̪ o
solo	s o l o
solos	s o l o s
soltar	s o l t̪ a ɾ
soltarla	s o l t̪ a r l a
soltera	s o l t̪ e ɾ a
soltura	s o l t̪ u ɾ a
soltó	s o l t̪ o
solía	s o l i a
solícito	s o l i θ i t̪ o
sombra	s o m b ɾ a
sombras	s o m b ɾ a s
sombrero	s o m b ɾ e ɾ o
soberbia	s o β e r β j a
sombreros	s o m b ɾ e ɾ o s
sobornada	s o β o r n a ð a
sombríamente	s o m b ɾ i a m e n t̪ e
sellado	s e ʎ a ð o
somete	s o m e t̪ e
sobrado	s o β ɾ a ð o
someterse	s o m e t̪ e r s e
sobrecoge	s o β ɾ e k o ç e
sobrecogieron	s o β ɾ e k o x j e ɾ o n
sobrenatural	s o β ɾ e n a t̪ u ɾ a l
sembrado	s e m b ɾ a ð o
sobres	s o β ɾ e s
sobresalir	s o β ɾ e s a l i ɾ
sometido	s o m e t̪ i ð o
semejaba	s e m e x a β a
sometía	s o m e t̪ i a
sobrevivieron	s o β ɾ e β i β j e ɾ o n
somnolencia	s o m n o l e n θ j a
sonaban	s o n a β a n
sonar	s o n a ɾ
semilla	s e m i ʎ a
sonaron	s o n a ɾ o n
sonarán	s o n a ɾ a n
sonetos	s o n e t̪ o s
sonido	s o n i ð o
sonora	s o n o ɾ a
sonreía	s o n r e i a
sendero	s e n d̪ e ɾ o
sentada	s e n t̪ a ð a
sonriendo	s o n r j e n d̪ o
sonrisa	s o n r i s a
sobro	s o β ɾ o
sonrojándose	s o n r o x a n d̪ o s e
sonsonete	s o n s o n e t̪ e
sopas	s o p a s
soplarlo	s o p l a r l o
sopor	s o p o ɾ
socarronamente	s o k a r o n a m e n t̪ e
socorrer	s o k o r e ɾ
socorrerle	s o k o r e r l e
soportal	s o p o r t̪ a l
sentarse	s e n t̪ a r s e
sentenciosa	s e n t̪ e n θ j o s a
sorbe	s o r β e
sorbo	s o r β o
sordo	s o r ð o
sordos	s o r ð o s
sorna	s o r n a
sorprendente	s o r p ɾ e n d̪ e n t̪ e
sofocaba	s o f o k a β a
sorprenderán	s o r p ɾ e n d̪ e ɾ a n
sorprendido	s o r p ɾ e n d̪ i ð o
sorprendiera	s o r p ɾ e n d̪ j e ɾ a
sofocaciones	s o f o k a θ j o n e s
sorprendiéndome	s o r p ɾ e n d̪ j e n d̪ o m e
sorprendió	s o r p ɾ e n d̪ j o
sofocando	s o f o k a n d̪ o
sorpresa	s o r p ɾ e s a
sofocarlos	s o f o k a r l o s
sentime	s e n t̪ i m e
sol	s o l
sosegadamente	s o s e ɣ a ð a m e n t̪ e
sentimosel	s e n t̪ i m o s e l
sentirla	s e n t̪ i r l a
sosiego	s o s j e ɣ o
soslayo	s o s l a ʝ o
sospecha	s o s p e tʃ a
sospechan	s o s p e tʃ a n
sospechas	s o s p e tʃ a s
sentándola	s e n t̪ a n d̪ o l a
sospecho	s o s p e tʃ o
senté	s e n t̪ e
solana	s o l a n a
sospechosa	s o s p e tʃ o s a
solapas	s o l a p a s
sentíame	s e n t̪ i a m e
sentíase	s e n t̪ i a s e
sentó	s e n t̪ o
solas	s o l a s
sepan	s e p a n
sospechosos	s o s p e tʃ o s o s
separa	s e p a ɾ a
sostenedme	s o s t̪ e n e ð m e
separarte	s e p a ɾ a r t̪ e
separarás	s e p a ɾ a ɾ a s
sostenerla	s o s t̪ e n e r l a
separe	s e p a ɾ e
sostengo	s o s t̪ e ŋ ɡ o
separes	s e p a ɾ e s
sostenida	s o s t̪ e n i ð a
separé	s e p a ɾ e
soledad	s o l e ð a ð
sosteniendo	s o s t̪ e ɲ j e n d̪ o
sepas	s e p a s
solemne	s o l e m n e
sostenían	s o s t̪ e n i a n
septimo	s e β t̪ i m o
sostuve	s o s t̪ u β e
solemnes	s o l e m n e s
sotana	s o t̪ a n a
solemnidad	s o l e m n i ð a ð
soy	s o i
sepultada	s e p u l t̪ a ð a
solicite	s o l i θ i t̪ e
soñado	s o ɲ a ð o
sepulturas	s e p u l t̪ u ɾ a s
solidez	s o l i ð e θ
soñando	s o ɲ a n d̪ o
soñoliento	s o ɲ o l j e n t̪ o
solitario	s o l i t̪ a ɾ j o
suavemente	s w a β e m e n t̪ e
solito	s o l i t̪ o
suba	s u β a
solitos	s o l i t̪ o s
subalterno	s u β a l t̪ e r n o
serenar	s e ɾ e n a ɾ
subasta	s u β a s t̪ a
serenata	s e ɾ e n a t̪ a
subido	s u β i ð o
subiendo	s u β j e n d̪ o
subieron	s u β j e ɾ o n
subir	s u β i ɾ
serenándose	s e ɾ e n a n d̪ o s e
soltando	s o l t̪ a n d̪ o
subió	s u β j o
soltase	s o l t̪ a s e
sublevación	s u β l e β a θ j o n
sublevar	s u β l e β a ɾ
sublimado	s u β l i m a ð o
sublime	s u β l i m e
solícita	s o l i θ i t̪ a
serpenteaba	s e r p e n t̪ e a β a
sublimidad	s u β l i m i ð a ð
serte	s e r t̪ e
subo	s u β o
subordinación	s u β o r ð i n a θ j o n
subsistencias	s u β s i s t̪ e n θ j a s
subterráneos	s u β t̪ e r a n e o s
sombría	s o m b ɾ i a
subyugar	s u β ʝ u ɣ a ɾ
subíamos	s u β i a m o s
sombrío	s o m b ɾ i o
sombríos	s o m b ɾ i o s
sucede	s u θ e ð e
suceder	s u θ e ð e ɾ
someterlos	s o m e t̪ e r l o s
sucederá	s u θ e ð e ɾ a
sucedido	s u θ e ð i ð o
sometieron	s o m e t̪ j e ɾ o n
son	s o n
sucediera	s u θ e ð j e ɾ a
sucedieron	s u θ e ð j e ɾ o n
sucesivo	s u θ e s i β o
sonado	s o n a ð o
servir	s e r β i ɾ
sucesión	s u θ e s j o n
sonarse	s o n a r s e
suceso	s u θ e s o
sonasen	s o n a s e n
sucesos	s u θ e s o s
sucio	s u θ j o
sonoro	s o n o ɾ o
sucumben	s u k u m b e n
sucumbirá	s u k u m b i ɾ a
sonreían	s o n r e i a n
sonrisas	s o n r i s a s
sonrojó	s o n r o x o
servirnos	s e r β i r n o s
sudor	s u ð o ɾ
sonrosadas	s o n r o s a ð a s
suegra	s w e ɣ ɾ a
sonum	s o n u m
suegras	s w e ɣ ɾ a s
sonó	s o n o
suelas	s w e l a s
servías	s e r β i a s
suelen	s w e l e n
soplar	s o p l a ɾ
suelo	s w e l o
soplo	s o p l o
soplándose	s o p l a n d̪ o s e
sueltan	s w e l t̪ a n
soportales	s o p o r t̪ a l e s
sueltos	s w e l t̪ o s
sordamente	s o r ð a m e n t̪ e
suerte	s w e r t̪ e
sorprende	s o r p ɾ e n d̪ e
sorprenderme	s o r p ɾ e n d̪ e r m e
sueño	s w e ɲ o
sorprendida	s o r p ɾ e n d̪ i ð a
setecientos	s e t̪ e θ j e n t̪ o s
sueños	s w e ɲ o s
suficiencia	s u f i θ j e n θ j a
sorprendiome	s o r p ɾ e n d̪ j o m e
suficientes	s u f i θ j e n t̪ e s
sorprendiéndonos	s o r p ɾ e n d̪ j e n d̪ o n o s
sufrido	s u f ɾ i ð o
sufrirte	s u f ɾ i r t̪ e
señala	s e ɲ a l a
sugerí	s u ç e ɾ i
señalando	s e ɲ a l a n d̪ o
sugirieron	s u ç i ɾ j e ɾ o n
señalaron	s e ɲ a l a ɾ o n
suicidio	s w i θ i ð j o
sosegado	s o s e ɣ a ð o
sujeta	s u ç e t̪ a
sujetos	s u ç e t̪ o s
suma	s u m a
sumaria	s u m a ɾ j a
sumergido	s u m e r ç i ð o
sospechando	s o s p e tʃ a n d̪ o
sumergía	s u m e r ç i a
sumisa	s u m i s a
sumo	s u m o
sospechoso	s o s p e tʃ o s o
supe	s u p e
sospechábamos	s o s p e tʃ a β a m o s
señoreado	s e ɲ o ɾ e a ð o
superficial	s u p e r f i θ j a l
sostenerse	s o s t̪ e n e r s e
superficie	s u p e r f i θ j e
superior	s u p e ɾ j o ɾ
señoritica	s e ɲ o ɾ i t̪ i k a
superiores	s u p e ɾ j o ɾ e s
sostenidos	s o s t̪ e n i ð o s
superioridad	s u p e ɾ j o ɾ i ð a ð
sostenía	s o s t̪ e n i a
supiera	s u p j e ɾ a
supierais	s u p j e ɾ a i s
sot	s o t̪
sot	s o ð
supimos	s u p i m o s
sibi	s i β i
suplicando	s u p l i k a n d̪ o
suplicio	s u p l i θ j o
suplicome	s u p l i k o m e
soñada	s o ɲ a ð a
suplicó	s u p l i k o
supliqué	s u p l i c e
soñar	s o ɲ a ɾ
siendo	s j e n d̪ o
suplía	s u p l i a
stia	e s t̪ j a
stia	s t̪ j a
suplían	s u p l i a n
su	s u
sientas	s j e n t̪ a s
suponer	s u p o n e ɾ
suave	s w a β e
supongo	s u p o ŋ ɡ o
supradicho	s u p ɾ a ð i tʃ o
suaves	s w a β e s
suprimir	s u p ɾ i m i ɾ
suavidad	s w a β i ð a ð
supuestas	s u p w e s t̪ a s
subalternos	s u β a l t̪ e r n o s
siervo	s j e ɾ β o
supuestos	s u p w e s t̪ o s
sube	s u β e
surca	s u r k a
subestial	s u β e s t̪ j a l
sigan	s i ɣ a n
surcada	s u r k a ð a
surgieron	s u r x j e ɾ o n
subiese	s u β j e s e
susceptibles	s u s θ e p t̪ i β l e s
significa	s i ɣ n i f i k a
suspenden	s u s p e n d̪ e n
subióseme	s u β j o s e m e
signo	s i ɣ n o
suspendido	s u s p e n d̪ i ð o
sublevan	s u β l e β a n
signos	s i ɣ n o s
suspensa	s u s p e n s a
sublevarán	s u β l e β a ɾ a n
suspenso	s u s p e n s o
siguiendo	s i ɣ j e n d̪ o
suspicaz	s u s p i k a θ
suspira	s u s p i ɾ a
sublimes	s u β l i m e s
suspiro	s u s p i ɾ o
sublimidades	s u β l i m i ð a ð e s
siguieran	s i ɣ j e ɾ a n
suspiros	s u s p i ɾ o s
subrayado	s u β r a ʝ a ð o
sustancia	s u s t̪ a n θ j a
subsiguiente	s u β s i ɣ j e n t̪ e
silban	s i l β a n
sustancias	s u s t̪ a n θ j a s
subterráneo	s u β t̪ e r a n e o
sustento	s u s t̪ e n t̪ o
suburbanas	s u β u r β a n a s
sustituirle	s u s t̪ i t̪ w i r l e
subí	s u β i
sutil	s u t̪ i l
sutilísimas	s u t̪ i l i s i m a s
subía	s u β i a
suya	s u ʝ a
subían	s u β i a n
sillones	s i ʎ o n e s
suceda	s u θ e ð a
suyo	s u ʝ o
sucedenhechas	s u θ e ð e n e tʃ a s
silogismoazul	s i l o ç i s m o a θ u l
sucediendo	s u θ e ð j e n d̪ o
simbólico	s i m b o l i k o
suyos	s u ʝ o s
simiente	s i m j e n t̪ e
sábanas	s a β a n a s
sucesivamente	s u θ e s i β a m e n t̪ e
simoún	s i m o u n
sátiras	s a t̪ i ɾ a s
simpatizó	s i m p a t̪ i θ o
sé	s e
simple	s i m p l e
suciedades	s u θ j e ð a ð e s
simples	s i m p l e s
séptimo	s e β t̪ i m o
simpleza	s i m p l e θ a
sígueme	s i ɣ w e m e
sígueme	s i ʝ e m e
sílabas	s i l a β a s
simpáticos	s i m p a t̪ i k o s
síntomas	s i n t̪ o m a s
sucumbido	s u k u m b i ð o
sólo	s o l o
sótano	s o t̪ a n o
simultánea	s i m u l t̪ a n e a
súbditos	s u β ð i t̪ o s
súbito	s u β i t̪ o
súplicas	s u p l i k a s
simón	s i m o n
sucursal	s u k u r s a l
tabaco	t̪ a β a k o
sincera	s i n θ e ɾ a
taberna	t̪ a β e r n a
tabique	t̪ a β i c e
tablas	t̪ a β l a s
tacañería	t̪ a k a ɲ e ɾ i a
tachan	t̪ a tʃ a n
siniestra	s i ɲ j e s t̪ ɾ a
suegro	s w e ɣ ɾ o
taciturno	t̪ a θ i t̪ u r n o
sinnúmero	s i n u m e ɾ o
suele	s w e l e
taconazos	t̪ a k o n a θ o s
tacto	t̪ a ɣ t̪ o
sintiéndome	s i n t̪ j e n d̪ o m e
tahalí	t̪ a a l i
tahures	t̪ a u ɾ e s
tajo	t̪ a x o
sintió	s i n t̪ j o
talaba	t̪ a l a β a
suelos	s w e l o s
sir	s i ɾ
