du	d uː
terrasse	tʰ ɛ ʁ a s ə
terrassen	tʰ ɛ ʁ a s n̩
stundenreihe	ʃ t ʊ n d ə n ʁ aj ə
stygischen	s t yː ɟ ɪ ʃ n̩
stämmen	ʃ t ɛ m n̩
teufe	tʰ ɔʏ f ə
teufel	tʰ ɔʏ f l̩
teufelchen	tʰ ɔʏ f l̩ ç n̩
stärkeres	ʃ t ɛ ʁ kʰ ə ʁ ə s
steckt	ʃ t ɛ k t
stöcke	ʃ t œ kʰ ə
teufelskünste	tʰ ɔʏ f l̩ s c ʏ n s t ə
steckte	ʃ t ɛ k tʰ ə
teure	tʰ ɔʏ ʁ ə
teurere	tʰ ɔʏ ʁ ə
teurere	tʰ ɔʏ ʁ ə ʁ ə
theater	tʰ ɛ aː tʰ ɐ
störrigsten	ʃ t œ ʁ ɪ ç s t n̩
theaterpublikum	tʰ ɛ aː tʰ ɐ pʰ ʊ b l iː kʰ ʊ m
stehende	ʃ t eː ə n d ə
stübchens	ʃ t yː p ç ə n s
theaters	tʰ ɛ aː tʰ ɐ s
stühle	ʃ t yː l ə
theaterstraße	tʰ ɛ aː tʰ ɐ ʃ t ʁ aː s ə
stünden	ʃ t ʏ n d n̩
thebaische	tʰ ɛ b aː ɪ ʃ ə
steif	ʃ t aj f
stürmische	ʃ t ʏ ʁ m ɪ ʃ ə
theodor	tʰ ɛ ɔ d oː ɐ
stürmte	ʃ t ʏ ʁ m tʰ ə
stürze	ʃ t ʏ ʁ ts ə
theorie	tʰ ɛ ɔ ʁ iː
stürzt	ʃ t ʏ ʁ ts t
thetel	tʰ eː tʰ l̩
steile	ʃ t aj l ə
steinaltes	ʃ t aj n a l tʰ ə s
steinernen	ʃ t aj n ɐ n n̩
stütze	ʃ t ʏ ts ə
thron	t ʁ oː n
stützt	ʃ t ʏ ts t
throns	t ʁ oː n s
tief	tʰ iː f
sublime	z ʊ p l iː m ə
steinpflaster	ʃ t aj n pf l a s t ɐ
sublimer	z ʊ p l iː m ɐ
sublimer	z ʊ p l ɪ m eː ɐ
subtil	z ʊ p tʰ ɪ l
stellmacher	ʃ t ɛ l m a x ɐ
stellungen	ʃ t ɛ l ʊ ŋ n̩
stempel	ʃ t ɛ m pʰ l̩
tiefe	tʰ iː f ə
suchglases	z uː x ɡ l aː z ə s
tiefem	tʰ iː f m̩
sterbebett	ʃ t ɛ ʁ b eː b ɛ t
tiefer	tʰ iː f ɐ
tieferm	tʰ iː f ɐ m
tiefes	tʰ iː f ə s
summte	z ʊ m tʰ ə
superiorität	z uː pʰ ɐ j oː ʁ ɪ tʰ eː t
sterblich	ʃ t ɛ ʁ p l ɪ ç
sterne	ʃ t ɛ ʁ n ə
sternen	ʃ t ɛ ʁ n n̩
sternschnuppenfall	ʃ t ɛ ʁ n ʃ n ʊ pʰ n̩ f a l
sternschnuppenfall	ʃ t ɛ ʁ n ʃ n ʊ pʰ ə n f a l
swammerdamms	s v a m ɐ d a m s
stickerei	ʃ t ɪ kʰ ə ʁ aj
tiefseeweib	tʰ iː f z eː v aj p
tiefseeweib	tʰ iː f z ə v aj p
tiefsinniger	tʰ iː f z ɪ n ɪ ɡ ɐ
tierchens	tʰ iː ɐ ç ə n s
tieres	tʰ iː ʁ ə s
sykomorenbäume	z ʏ kʰ ɔ m oː ʁ ə n b ɔʏ m ə
tierreiches	tʰ iː ʁ aj ç ə s
symbol	z ʏ m b oː l
system	z ʏ s t eː m
tilsemoht	tʰ iː l z ɛ m oː t
stiegen	ʃ t iː ɡ n̩
systematisch	z ʏ s t ɛ m aː tʰ ɪ ʃ
tisch	tʰ ɪ ʃ
stifter	ʃ t ɪ f tʰ ə ʁ
säbel	z eː b l̩
tischchen	tʰ ɪ ʃ ç n̩
tischen	tʰ ɪ ʃ n̩
stillem	ʃ t ɪ l m̩
säbels	z eː b l̩ s
tischplatte	tʰ ɪ ʃ p l a tʰ ə
sämtlicher	z eː m t l ɪ ç ɐ
tobende	tʰ oː b n̩ d ə
stillschweigend	ʃ t ɪ l ʃ v aj ɡ n̩ t
tobt	tʰ oː p t
stillstehender	ʃ t ɪ l ʃ t eː ə n d ɐ
sätze	z ɛ ts ə
sätzen	z ɛ ts n̩
stimmlein	ʃ t ɪ m l aj n
söhnchen	z øː ɲ ç n̩
tochter	tʰ ɔ x tʰ ɐ
stinkbomben	ʃ t ɪ ŋ k b ɔ m b n̩
südlichen	z yː t l ɪ ç n̩
tode	tʰ oː d ə
tode	tʰ oː t
sühnender	z yː n ə n d ɐ
todes	tʰ oː d ə s
stocken	ʃ t ɔ kʰ n̩
sündhaftem	z ʏ n t h a f tʰ m̩
todeshauch	tʰ oː d ə s h aw x
süße	z yː s ə
süße	z ʏ s ə
süßem	z yː s m̩
süßem	z ʏ s m̩
süßes	z yː s ə s
süßes	z ʏ s ə s
süßlispelnde	z yː s l ɪ s p l̩ n d ə
süßlispelnde	z ʏ s l ɪ s p l̩ n d ə
stoff	ʃ t ɔ f
stoffenen	ʃ t ɔ f ə n n̩
todesschauer	tʰ oː d ə s ʃ aw ɐ
tabakpfeife	tʰ aː b a k pf aj f ə
todesschweiß	tʰ oː d ə s ʃ v aj s
tadel	tʰ aː d l̩
stopfte	ʃ t ɔ pf tʰ ə
todesstille	tʰ oː d ə s ʃ t ɪ l ə
tadelnswerte	tʰ aː d l̩ n s v eː ɐ tʰ ə
tadelnswerte	tʰ aː d l̩ n s v eː ʁ tʰ ə
stotterte	ʃ t ɔ tʰ ɐ tʰ ə
toilette	tʰ ɔ l ɛ tʰ ə
tag	tʰ aː k
stoßweise	ʃ t oː s v aj z ə
stoßweise	ʃ t ɔ s v aj z ə
tokioyoshiwara	tʰ oː cʰ ɪ ɔ j oː ʃ ɪ v aː ʁ a
tokioyoshiwara	tʰ oː cʰ ɪ ɔ j ɔ ʃ ɪ v aː ʁ a
tollkirschen	tʰ ɔ l cʰ ɪ ʁ ʃ n̩
tage	tʰ aː ɡ ə
straffgespannten	ʃ t ʁ a f ɡ ə ʃ p a n tʰ n̩
tonfall	tʰ oː n f a l
tagen	tʰ aː ɡ n̩
strahlte	ʃ t ʁ aː l tʰ ə
tonvase	tʰ oː n v aː z ə
tonvase	tʰ ɔ n v aː z ə
tonvasen	tʰ oː n v aː z n̩
tonvasen	tʰ ɔ n v aː z n̩
tageslebens	tʰ aː ɡ ə s l eː b n̩ s
strandhütte	ʃ t ʁ a n t h ʏ tʰ ə
strauß	ʃ t ʁ aw s
strazzen	ʃ t ʁ a ts n
strazzen	ʃ t ʁ a ts n̩
straßauf	ʃ t ʁ aː s aw f
straßauf	ʃ t ʁ aː s kʰ aw f
tagesöffnung	tʰ aː ɡ ə s œ f n ʊ ŋ
tor	tʰ oː ɐ
straßencafs	ʃ t ʁ aː s n̩ k aː f s
straßencafs	ʃ t ʁ aː s n̩ kʰ aː f s
tagherz	tʰ aː k h eː ɐ ts
tagherz	tʰ aː k h ɛ ʁ ts
torbern	tʰ oː ɐ b ə ʁ n
straßengraben	ʃ t ʁ aː s n̩ ɡ ʁ aː b n̩
straßengraben	ʃ t ʁ aː s ə n ɡ ʁ aː b n̩
taifun	tʰ aj f uː n
toren	tʰ oː ʁ n̩
torheiten	tʰ oː ɐ h aj tʰ n̩
straßenverkäufer	ʃ t ʁ aː s n f ɛ ɐ kʰ ɔʏ f ɐ
straßenverkäufer	ʃ t ʁ aː s n̩ f ɛ ɐ kʰ ɔʏ f ɐ
straßenverkäufer	ʃ t ʁ aː s ə n f ɛ ɐ kʰ ɔʏ f ɐ
takt	tʰ a k t
torpedogeschossen	tʰ ɔ ʁ pʰ eː d ɔ ɡ ə ʃ ɔ s n̩
strecke	ʃ t ʁ ɛ kʰ ə
talar	tʰ aː l aː ɐ
totenblässe	tʰ oː tʰ n̩ b l ɛ s ə
totenreich	tʰ oː tʰ ə n ʁ aj ç
toter	tʰ oː tʰ ɐ
streich	ʃ t ʁ aj ç
talent	tʰ a l ɛ n t
tanzte	tʰ a n ts t ə
streichelten	ʃ t ʁ aj ç l̩ tʰ n̩
streichelten	ʃ t ʁ aj ç ə l tʰ n̩
totküßte	tʰ oː t cʰ yː s t
totküßte	tʰ oː t cʰ yː s t ə
totküßte	tʰ oː t cʰ ʏ s t
totküßte	tʰ oː t cʰ ʏ s t ə
tanzten	tʰ a n ts t n̩
tapferkeit	tʰ a pf ɐ kʰ aj t
tasche	tʰ a ʃ ə
streichholz	ʃ t ʁ aj ç h ɔ l ts
streichhölzer	ʃ t ʁ aj ç h œ l ts ɐ
streicht	ʃ t ʁ aj ç t
taschenspieler	tʰ a ʃ n̩ ʃ p iː l ɐ
totschießen	tʰ oː t ʃ iː s n̩
tasse	tʰ a s ə
tracht	t ʁ a x t
traf	t ʁ aː f
tastet	tʰ a s t ə t
tat	tʰ aː t
streiten	ʃ t ʁ aj tʰ n̩
trage	t ʁ aː ɡ ə
trage	t ʁ aː ʃ ə
strenge	ʃ t ʁ ɛ ŋ ə
strengt	ʃ t ʁ ɛ ŋ t
tragen	t ʁ aː ɡ n̩
taten	tʰ aː tʰ n̩
tatet	tʰ aː tʰ ə t
strengten	ʃ t ʁ ɛ ŋ tʰ n̩
tauben	tʰ aw b n̩
tragsessel	t ʁ aː z ɛ s l̩
strohdiele	ʃ t ʁ oː d iː l ə
strohmantel	ʃ t ʁ oː m a n tʰ l̩
strom	ʃ t ʁ oː m
trank	t ʁ a ŋ k
strotzten	ʃ t ʁ ɔ ts t n̩
transport	t ʁ a n s p ɔ ʁ t
struppige	ʃ t ʁ ʊ pʰ ɪ ɡ ə
trappgang	t ʁ a pʰ ɡ a ŋ
taubes	tʰ aw b ə s
taubstumm	tʰ aw p ʃ t ʊ m
tauffest	tʰ aw f ɛ s t
sträubt	ʃ t ʁ ɔʏ p t
trappgänge	t ʁ a p ɟ ɛ ŋ ə
trappgänge	t ʁ a pʰ ə ɟ ɛ ŋ ə
trappgänge	t ʁ a pʰ ɟ ɛ ŋ ə
tauge	tʰ aw ɡ ə
trat	t ʁ aː t
taugenichts	tʰ aw ɡ ə n ɪ ç ts
taumelte	tʰ aw m ə l tʰ ə
tausenden	tʰ aw z ə n d n̩
strümpfe	ʃ t ʁ ʏ m pf ə
stubendecke	ʃ t uː b n̩ d ɛ kʰ ə
studenten	ʃ t ʊ d ɛ n tʰ n̩
studium	ʃ t uː d ɪ ʊ m
studium	ʃ t ʊ d ɪ ʊ m
tausendjährigen	tʰ aw z n̩ t j eː ʁ ɪ ɡ n̩
stufen	ʃ t uː f n̩
tausendundeiner	tʰ aw z n̩ tʰ ʊ n tʰ aj n ɐ
teehausmädchen	tʰ eː h aw s m eː t ç n̩
traten	t ʁ aː tʰ n̩
stuhllehne	ʃ t uː l eː n ə
trauen	t ʁ aw n̩
trauer	t ʁ aw ɐ
teeschluck	tʰ eː ʃ l ʊ k
trauert	t ʁ aw ɐ t
stumpfheit	ʃ t ʊ m pf h aj t
teetassen	tʰ eː tʰ a s n̩
traum	t ʁ aw m
stundenlang	ʃ t ʊ n d n̩ l a ŋ
sturzregen	ʃ t ʊ ʁ ts ʁ eː ɡ n̩
städten	ʃ t eː tʰ n̩
städten	ʃ t ɛ tʰ n̩
ständet	ʃ t ɛ n d ə t
stärkere	ʃ t ɛ ʁ kʰ ə ʁ ə
teils	tʰ aj l s
teilt	tʰ aj l t
teilten	tʰ aj l tʰ n̩
stärkt	ʃ t ɛ ʁ k t
telegraphenoffice	tʰ ɛ l ɛ ɡ ʁ a f ɛ n ɔ f ɪ s
telegraphenoffice	tʰ ɛ l ɛ ɡ ʁ aː f ə n ɔ f ɪ s
stärkten	ʃ t ɛ ʁ k tʰ n̩
traumerscheinung	t ʁ aw m ɐ ʃ aj n ʊ ŋ
traumerscheinung	t ʁ aw m ə ʁ ʃ aj n ʊ ŋ
traurige	t ʁ aw ʁ ɪ ɡ ə
trauriges	t ʁ aw ʁ ɪ ɡ ə s
treffen	t ʁ ɛ f n̩
treffliches	t ʁ ɛ f l ɪ ç ə s
treibenden	t ʁ aj b ə n d n̩
treibenden	t ʁ aj b ə n tʰ n̩
stöhnten	ʃ t øː n tʰ n̩
tempeldunkelheit	tʰ ɛ m pʰ l̩ d ʊ ŋ kʰ l̩ h aj t
treibt	t ʁ aj p t
trennen	t ʁ ɛ n n̩
trennt	t ʁ ɛ n t
trennte	t ʁ ɛ n tʰ ə
treppe	t ʁ ɛ pʰ ə
treppen	t ʁ ɛ pʰ n̩
treten	t ʁ eː tʰ n̩
treue	t ʁ ɔʏ ə
treuen	t ʁ ɔʏ n̩
treuesten	t ʁ ɔʏ ə s t n̩
treuherzige	t ʁ ɔʏ h ɛ ʁ ts ɪ ɡ ə
treulose	t ʁ ɔʏ l oː z ə
treulosen	t ʁ ɔʏ l oː z n̩
trieb	t ʁ iː p
tempeldächern	tʰ ɛ m pʰ l̩ d ɛ ç ɐ n
tempelgötter	tʰ ɛ m pʰ l̩ ɟ œ tʰ ɐ
trieben	t ʁ iː b n̩
trifft	t ʁ ɪ f t
trikot	t ʁ ɪ kʰ oː
trinken	t ʁ ɪ ŋ kʰ n̩
trinkens	t ʁ ɪ ŋ kʰ n̩ s
trinkt	t ʁ ɪ ŋ k t
trippeln	t ʁ ɪ pʰ l̩ n
trippeln	t ʁ ɪ pʰ ə l n
tritt	t ʁ ɪ t
trittst	t ʁ ɪ t s t
trocken	t ʁ ɔ kʰ n̩
trocknete	t ʁ ɔ k n eː tʰ ə
troddeln	t ʁ ɔ d l̩ n
troddeln	t ʁ ɔ d ə l n
troll	t ʁ ɔ l
trommeln	t ʁ ɔ m l̩ n
trommeln	t ʁ ɔ m ə l n
trommelten	t ʁ ɔ m l̩ tʰ n̩
tropf	t ʁ ɔ pf
tropfen	t ʁ ɔ pf n̩
trost	t ʁ oː s t
trostlos	t ʁ oː s t l oː s
trostlosem	t ʁ oː s t l oː z eː m
trostlosester	t ʁ oː s t l oː z ɛ s t ɐ
trotzen	t ʁ ɔ ts n̩
tempelhalle	tʰ ɛ m pʰ l̩ h a l ə
störrigen	ʃ t œ ʁ ɪ ɡ n̩
störrisch	ʃ t œ ʁ ɪ ʃ
trug	t ʁ uː k
trug	t ʁ uː x
stück	ʃ t ʏ k
stücken	ʃ t ʏ kʰ n̩
stülpte	ʃ t ʏ l p tʰ ə
stürmisch	ʃ t ʏ ʁ m ɪ ʃ
tempelkatze	tʰ ɛ m pʰ l̩ kʰ a ts ə
trugen	t ʁ uː ɡ n
stürmisches	ʃ t ʏ ʁ m ɪ ʃ ə s
tempellänge	tʰ ɛ m pʰ l̩ l ɛ ŋ ə
tempels	tʰ ɛ m pʰ l̩ s
stürzten	ʃ t ʏ ʁ ts t n̩
truhe	t ʁ uː ə
tempelterrassen	tʰ ɛ m pʰ l̩ tʰ ɛ ʁ a s n̩
tempelterrassen	tʰ ɛ m pʰ ə l tʰ ɐ ʁ a s n̩
stützte	ʃ t ʏ ts t ə
truhen	t ʁ uː n̩
tempelvision	tʰ ɛ m pʰ l̩ v ɪ z j oː n
trunken	t ʁ ʊ ŋ kʰ n̩
truthühner	t ʁ uː t h yː n ɐ
träne	t ʁ eː n ə
sublimen	z ʊ p l iː m n̩
sublimsten	z ʊ p l ɪ m s t n̩
tränen	t ʁ eː n n̩
tränenstrom	t ʁ eː n ə n ʃ t ʁ oː m
tränken	t ʁ ɛ ŋ kʰ n̩
temperaments	tʰ ɛ m pʰ ə ʁ a m ɛ n t s
träume	t ʁ ɔʏ m ə
teppichfetzen	tʰ ɛ pʰ ɪ ç f ɛ ts n̩
teuer	tʰ ɔʏ ɐ
teuern	tʰ ɔʏ ɐ n
träumen	t ʁ ɔʏ m n̩
träumend	t ʁ ɔʏ m ə n t
teufels	tʰ ɔʏ f l̩ s
träumer	t ʁ ɔʏ m ɐ
träumer	t ʁ ɔʏ m ə ʁ
träumerei	t ʁ ɔʏ m ə ʁ aj
träumerischen	t ʁ ɔʏ m ə ʁ ɪ ʃ n̩
träumte	t ʁ ɔʏ m tʰ ə
trösten	t ʁ øː s t n̩
tröstend	t ʁ øː s t ɛ n t
tröstliches	t ʁ øː s t l ɪ ç ə s
trübsal	t ʁ yː p z aː l
trübsinnigen	t ʁ yː p z ɪ n ɪ ɡ n̩
trügerische	t ʁ yː ɡ ə ʁ ɪ ʃ ə
suezkanals	z ʊ ə ts k a n aː l s
teuflische	tʰ ɔʏ f l ɪ ʃ ə
teurer	tʰ ɔʏ ʁ ə ʁ
tsilmenaja	ts ɪ l m ə n aː j aː
tsilmenaja	ts ɪ l m ɛ n aː j a
tsilmenaja	ts ɪ l m ɛ n aː j aː
surren	z ʊ ʁ n̩
teutschlands	tʰ ɔʏ tʃ l a n t s
tue	tʰ uː ə
surrender	z ʊ ʁ ə n d ɐ
theaterrampe	tʰ ɛ aː tʰ ɐ ʁ a m pʰ ə
tugend	tʰ uː ɡ n̩ t
surrte	z ʊ ʁ tʰ ə
theaterschneiders	tʰ ɛ aː tʰ ɐ ʃ n aj d ɐ s
tulpe	tʰ ʊ l pʰ ə
thebaischen	tʰ ɛ b aː ɪ ʃ n̩
tulpenkelchs	tʰ ʊ l pʰ ə ɲ cʰ ɛ l ç s
turnlehrer	tʰ ʊ ʁ n l eː ʁ ɐ
tuts	tʰ uː t s
tyrann	tʰ ʏ ʁ a n
tyrannen	tʰ ʏ ʁ a n n̩
tägliche	tʰ eː k l ɪ ç ə
tändelei	tʰ ɛ n d l̩ aj
tändelei	tʰ ɛ n d ə l aj
tänze	tʰ ɛ n ts ə
tänzerin	tʰ ɛ n ts ə ʁ ɪ n
tänzerinnen	tʰ ɛ n ts ə ʁ ɪ n n̩
täusche	tʰ ɔʏ ʃ ə
täuschen	tʰ ɔʏ ʃ n̩
swammers	s v a m ɐ s
täuschungen	tʰ ɔʏ ʃ ʊ ŋ n̩
thrones	t ʁ oː n ə s
sykomorenbaum	z ʏ kʰ ɔ m oː ʁ ə n b aw m
sylvester	z yː l v ɛ s t ɐ
systematisches	z ʏ s t ɛ m aː tʰ ɪ ʃ ə s
sämtlichen	z eː m t l ɪ ç n̩
tölpelei	tʰ œ l pʰ ə l aj
töne	tʰ øː n ə
tönen	tʰ øː n n̩
sänften	z ɛ n f tʰ n̩
tönte	tʰ øː n tʰ ə
tiefen	tʰ iː f n̩
tiefere	tʰ iː f ə ʁ ə
säuseln	z ɔʏ z ə l n
tiefsee	tʰ iː f z eː
tiefsinnigen	tʰ iː f z ɪ n ɪ ɡ n̩
töpferofen	tʰ œ pf ɐ oː f n̩
tiefsten	tʰ iː f s t n̩
süddeutsche	z yː t d ɔʏ tʃ ə
südzone	z yː ts oː n ə
sünden	z ʏ n d n̩
törichte	tʰ øː ʁ ɪ ç tʰ ə
tier	tʰ iː ɐ
tierchen	tʰ iː ɐ ç n̩
töten	tʰ øː tʰ n̩
tötende	tʰ øː tʰ n̩ d ə
tieren	tʰ iː ɐ n
tieren	tʰ iː ʁ n̩
tierischen	tʰ iː ʁ ɪ ʃ n̩
tiger	tʰ iː ɡ ɐ
sündige	z ʏ n d ɪ ɡ ə
tötete	tʰ øː tʰ ə tʰ ə
tigerartig	tʰ iː ɡ ɐ aː ɐ tʰ ɪ ç
süß	z yː s
süß	z ʏ s
tücher	tʰ yː ç ɐ
tücher	tʰ ʏ ç ɐ
süßduftende	z yː s d ʊ f tʰ n̩ d ə
süßduftende	z ʏ s d ʊ f tʰ n̩ d ə
tüchtige	tʰ ʏ ç tʰ ɪ ɡ ə
tische	tʰ ɪ ʃ ə
süßlich	z yː s l ɪ ç
süßlich	z ʏ s l ɪ ç
tüchtiger	tʰ ʏ ç tʰ ɪ ɡ ɐ
tabak	tʰ a b a k
tabak	tʰ aː b a k
tüchtigste	tʰ ʏ ç tʰ ɪ ç s t ə
tisches	tʰ ɪ ʃ ə s
tüllröckchen	tʰ ʏ l ʁ œ k ç n̩
tischt	tʰ ɪ ʃ t
tabaksdose	tʰ aː b a k s d oː z ə
türe	tʰ yː ʁ ə
tischte	tʰ ɪ ʃ t ə
tadle	tʰ aː d l ə
türkische	tʰ ʏ ʁ cʰ ɪ ʃ ə
toben	tʰ oː b n̩
tafel	tʰ aː f l̩
türschwelle	tʰ yː ɐ ʃ v ɛ l ə
toberei	tʰ oː b ə ʁ aj
toberei	tʰ ɔ b ə ʁ aj
ufer	uː f ɐ
tobte	tʰ oː p tʰ ə
uferbäumen	uː f ɐ b ɔʏ m n̩
tagebuche	tʰ aː ɡ ə b uː x ə
tageshelle	tʰ aː ɡ ə s h ɛ l ə
tagesschlaf	tʰ aː ɡ ə s ʃ l aː f
tod	tʰ oː t
tagsüber	tʰ aː k s yː b ɐ
taktmäßig	tʰ a k t m s ɪ ç
taktmäßig	tʰ a k t m ɛ s ɪ ç
ufern	uː f ɐ n
todbleich	tʰ oː t b l aj ç
tang	tʰ a ŋ
tanz	tʰ a n ts
tanzen	tʰ a n ts n̩
uferrand	uː f ɐ ʁ a n t
uhr	uː ɐ
uhren	uː ɐ n
uhren	uː ʁ n̩
todesengel	tʰ oː d ə s ɛ ŋ l̩
todesklage	tʰ oː d ə s k l aː ɡ ə
todesschreckens	tʰ oː d ə s ʃ ʁ ɛ kʰ n̩ s
todestage	tʰ oː d ə s t aː ɡ ə
tanzzeremonie	tʰ a n ts ts ɛ ʁ ɛ m ɔ n iː
tokio	tʰ oː cʰ ɪ ɔ
uhrketten	uː ɐ cʰ ɛ tʰ n̩
tastete	tʰ a s t ə tʰ ə
toll	tʰ ɔ l
tollen	tʰ ɔ l n̩
ulla	ʊ l a
tollere	tʰ ɔ l ə ʁ ə
ullas	ʊ l a s
umarmen	ʊ m a ʁ m n̩
umarmt	ʊ m a ʁ m t
umarmte	ʊ m a ʁ m tʰ ə
umarmungen	ʊ m a ʁ m ʊ ŋ n̩
tolles	tʰ ɔ l ə s
tollheit	tʰ ɔ l h aj t
tollsten	tʰ ɔ l s t n̩
umeinander	ʊ m aj n a n d ɐ
umfaßte	ʊ m f a s t
umfaßte	ʊ m f a s t ə
umfaßte	ʊ m f aː s t
umfaßte	ʊ m f aː s t ə
ton	tʰ oː n
tau	tʰ aw
umgab	ʊ m ɡ aː p
taub	tʰ aw p
taubenblauen	tʰ aw b n̩ b l aw n̩
tauen	tʰ aw n̩
tone	tʰ oː n ə
umgange	ʊ m ɡ a ŋ ə
umgeben	ʊ m ɟ eː b n̩
umgebracht	ʊ m ɡ ə b ʁ a x t
taumel	tʰ aw m l̩
tonnen	tʰ ɔ n n̩
taumelnd	tʰ aw m ə l n t
tausende	tʰ aw z n̩ d ə
tausende	tʰ aw z ə n d ə
tonscherbe	tʰ oː n ʃ ɛ ʁ b ə
umgekleidet	ʊ m ɡ ə k l aj d ə t
tausendhändigen	tʰ aw z n̩ t h ɛ n d ɪ ɡ n̩
tore	tʰ oː ʁ ə
tausendstimmiger	tʰ aw z n̩ t ʃ t ɪ m ɪ ɡ ɐ
umgestülpten	ʊ m ɡ ə ʃ t ʏ l p tʰ n̩
torheit	tʰ oː ɐ h aj t
teehäusern	tʰ eː h ɔʏ z ɐ n
teetasse	tʰ eː tʰ a s ə
teezimmers	tʰ eː ts ɪ m ɐ s
torkeln	tʰ ɔ ʁ kʰ ə l n
tot	tʰ oː t
tote	tʰ oː tʰ ə
umher	ʊ m h eː ɐ
umherstoben	ʊ m h eː ɐ ʃ t oː b n̩
umherstreichend	ʊ m h eː ɐ ʃ t ʁ aj ç n̩ t
umkam	ʊ m kʰ a m
teilnehmen	tʰ aj l n eː m n̩
toten	tʰ oː tʰ n̩
umkleiden	ʊ m k l aj d n̩
umlauf	ʊ m l aw f
ums	ʊ m s
umsah	ʊ m z aː
umschaut	ʊ m ʃ aw t
umschlang	ʊ m ʃ l a ŋ
umschweife	ʊ m ʃ v aj f ə
totenacker	tʰ oː tʰ n̩ a kʰ ɐ
totenacker	tʰ oː tʰ ə n a kʰ ɐ
totenbleiche	tʰ oː tʰ n̩ b l aj ç ə
totenfarbe	tʰ oː tʰ n̩ f a ʁ b ə
totenfarbe	tʰ oː tʰ ə n f a ʁ b ə
teller	tʰ ɛ l ɐ
umschäumten	ʊ m ʃ ɔʏ m tʰ n̩
totenstille	tʰ oː tʰ ə n ʃ t ɪ l ə
umsonst	ʊ m z ɔ n s
umsonst	ʊ m z ɔ n s t
trabant	t ʁ a b a n t
tempelbau	tʰ ɛ m pʰ l̩ b aw
umstande	ʊ m ʃ t a n d ə
tempeldach	tʰ ɛ m pʰ l̩ d a x
umstände	ʊ m ʃ t ɛ n d ə
umständlich	ʊ m ʃ t ɛ n t l ɪ ç
tempelgebälk	tʰ ɛ m pʰ l̩ ɡ ə b ɛ l k
umsähe	ʊ m z eː ə
umwand	ʊ m v a n t
tempelgong	tʰ ɛ m pʰ l̩ ɡ ɔ ŋ
tempelgöttern	tʰ ɛ m pʰ l̩ ɟ œ tʰ ə ʁ n
umwandte	ʊ m v a n tʰ ə
umwendest	ʊ m v ɛ n d ə s t
umzingelte	ʊ m ts ɪ ŋ l̩ tʰ ə
unabsehbaren	ʊ n a p z eː b aː ʁ n̩
unangenehmem	ʊ n a n ɡ ə n eː m m̩
unart	ʊ n aː ɐ t
unauffindbar	ʊ n aw f ɪ n t b aː ɐ
unaufhörlich	ʊ n aw f h øː ɐ l ɪ ç
unauflösliches	ʊ n aw f l øː s l ɪ ç ə s
unaussprechlich	ʊ n aw s ʃ p ʁ ɛ ç l ɪ ç
unbeachteter	ʊ n b ə a x tʰ ə tʰ ɐ
unbedingt	ʊ n b ə d ɪ ŋ t
tempelhofes	tʰ ɛ m pʰ l̩ h oː f ə s
unbedingtesten	ʊ n b ə d ɪ ŋ tʰ ə s t n̩
unbedingtesten	ʊ n b ə d ɪ ŋ tʰ ɛ s t n̩
tempelluft	tʰ ɛ m pʰ l̩ l ʊ f t
tragischen	t ʁ aː ɟ ɪ ʃ n̩
unbefangenheit	ʊ n b ə f a ŋ ə n h aj t
unbegreiflichen	ʊ n b ə ɡ ʁ aj f l ɪ ç n̩
unbegrenzte	ʊ n b ə ɡ ʁ ɛ n ts t ə
transportieren	t ʁ a n s p ɔ ʁ tʰ iː ʁ n̩
unbehorcht	ʊ n b ə h ɔ ʁ ç t
unbekannt	ʊ n b ə kʰ a n t
tempeltür	tʰ ɛ m pʰ l̩ tʰ yː ɐ
tempeltür	tʰ ɛ m pʰ ə l tʰ yː ɐ
unbekannten	ʊ n b ə kʰ a n tʰ n̩
temperament	tʰ ɛ m pʰ ə ʁ a m ɛ n t
trauben	t ʁ aw b n̩
unbemerkt	ʊ n b ə m ɛ ʁ k t
tendenzen	tʰ ɛ n d ɛ n ts n̩
trauerspiel	t ʁ aw ɐ ʃ p iː l
unbeschreiblich	ʊ n b ə ʃ ʁ aj p l ɪ ç
teraphim	tʰ ɛ ʁ aː f ɪ m
teuerste	tʰ ɔʏ ɐ s t ə
traume	t ʁ aw m ə
traumes	t ʁ aw m ə s
traums	t ʁ aw m s
traurig	t ʁ aw ʁ ɪ k
traurig	t ʁ aw ʁ ɪ ç
trauriger	t ʁ aw ʁ ɪ ɡ ɐ
teufelei	tʰ ɔʏ f l̩ aj
unbeschreibliches	ʊ n b ə ʃ ʁ aj p l ɪ ç ə s
traute	t ʁ aw tʰ ə
treffe	t ʁ ɛ f ə
treibe	t ʁ aj b ə
treiben	t ʁ aj b n̩
unbesiegbar	ʊ n b ə z iː k b aː ɐ
unbesiegbar	ʊ n b ə z iː ɡ b aː ɐ
teufeln	tʰ ɔʏ f l̩ n
teufen	tʰ ɔʏ f n̩
teuflisches	tʰ ɔʏ f l ɪ ʃ ə s
theaterbilder	tʰ ɛ aː tʰ ɐ b ɪ l d ɐ
theaterstücken	tʰ ɛ aː tʰ ɐ ʃ t ʏ kʰ n̩
